,percentages,Random 50,Policy token,Gumbel,Kuma,Random 25,Random 10
0,0,0.042571886625696255,0.04239410333341208,0.3082480238434625,0.13374348430208746,0.04234022993254899,0.04545925235580408
1,10,0.10001438760199782,0.10049847622197547,0.21258260982246988,0.28856208887853696,0.09795374492567993,0.09912498705602153
2,20,0.10130927178180174,0.10450282312362684,0.08047168588829856,0.1789216670548644,0.10299449442728616,0.10000517759138448
3,30,0.09819538363513043,0.09865576791325097,0.03456654140209926,0.0945489008650116,0.09650762826538306,0.0932225328777053
4,40,0.10138120979179084,0.10287864112074464,0.021705325903848646,0.064815632855984,0.10114553098304943,0.10052293672983328
5,50,0.09926417692639714,0.10112452455763188,0.015971232344175197,0.04332286538106291,0.09992666122651353,0.10362949156052605
6,60,0.10000924917271288,0.10159701386756123,0.01244006738369833,0.033283269213779144,0.10162068360000412,0.1022315418867143
7,70,0.09744517295952973,0.09796475229747928,0.012699235454192043,0.023348084846635128,0.09761287457003852,0.0960960960960961
8,80,0.10217252790167099,0.1018923196862671,0.01930802125178178,0.02179797119840652,0.10296350621313692,0.10163611887749818
9,90,0.09992189587486897,0.0981832786033216,0.04571076843332901,0.027540620206092832,0.09948249682370804,0.09938386662524594
10,100,0.057714837728403176,0.050308299274728914,0.2362964882726448,0.0901154151975391,0.05745214903265125,0.058687998343170754
